timestamp,TP9,AF7,AF8,TP10,Right AUX
1533058200,873.1502,782.49084,803.0403,879.59705,998.46155
1533058200,955.7509,833.2601,803.0403,960.989,999.67035
1533058200,854.21246,842.1245,804.2491,867.1062,782.8938
1533058200,692.6374,787.326,800.6227,712.7839,722.4542
1533058200,665.64105,775.2381,798.20514,666.4469,614.4689
1533058200,857.4359,816.337,801.8315,843.3333,671.28204
1533058200,967.03296,835.6777,806.6667,957.3626,800.6227
1533058200,878.7912,809.4872,806.26373,884.83514,864.2857
1533058200,713.1868,791.75824,807.0696,730.5128,765.16486
1533058200,656.3736,777.25275,811.9048,663.6264,733.73627
1533058200,831.2454,798.60803,813.5165,822.7839,825.2015
1533058200,957.3626,807.8755,813.5165,954.94507,991.6117
1533058200,892.0879,810.293,810.293,896.1172,1005.7143
1533058200,739.3773,821.978,812.3077,748.6447,781.685
1533058200,652.74725,788.93774,811.0989,665.2381,710.3663
1533058200,798.20514,789.34064,801.4286,798.20514,854.21246
1533058200,949.707,832.4542,807.8755,940.0366,874.7619
1533058200,904.9817,831.2454,807.8755,902.1612,797.8022
1533058200,756.7033,794.9817,800.6227,768.7912,748.6447
1533058200,652.74725,765.16486,802.23444,662.4176,647.9121
1533058200,782.49084,790.9524,807.8755,781.28204,632.6007
1533058200,952.52747,819.5604,803.44324,942.8571,826.8132
1533058200,923.5165,809.0842,798.60803,918.68134,1006.1172
1533058200,780.07324,773.22345,801.4286,794.17584,1048.022
1533058200,651.9414,776.8498,801.4286,661.6117,759.5238
1533058200,747.8388,802.6374,801.4286,738.1685,620.9158
1533058200,933.1868,820.7692,804.2491,923.91943,805.4579
1533058200,928.7546,830.0366,806.26373,936.0073,850.989
1533058200,787.326,813.5165,805.8608,811.0989,729.304
1533058200,649.92676,776.04395,803.8461,672.49084,627.76556
1533058200,721.6484,765.9707,804.2491,730.9158,742.6007
1533058200,918.68134,813.1135,803.8461,915.05493,806.6667
1533058200,948.49817,836.8865,804.2491,941.6484,810.293
1533058200,820.7692,810.696,803.8461,828.4249,897.72894
1533058200,666.04395,750.2564,801.4286,681.75824,939.2308
1533058200,700.293,750.2564,801.02563,697.8755,917.47253
1533058200,899.7436,826.8132,796.99634,881.2088,779.2674
1533058200,947.28937,839.707,793.7729,932.381,837.28937
1533058200,828.8278,813.1135,803.44324,825.2015,882.01465
1533058200,674.5055,788.5348,806.26373,674.5055,699.0842
1533058200,679.34064,783.2967,803.8461,668.46155,597.1429
1533058200,873.5531,807.47253,802.23444,855.82416,749.85345
1533058200,949.707,816.7399,805.05493,936.8132,881.6117
1533058201,852.1978,808.68134,811.9048,850.18317,808.2784
1533058201,696.6667,775.64105,807.47253,702.3077,648.71796
1533058201,670.87915,754.68866,799.011,674.10254,667.6557
1533058201,857.4359,784.90845,807.8755,850.989,870.7326
1533058201,955.34796,817.1429,812.71063,945.2747,917.47253
1533058201,868.71796,817.9487,808.2784,867.1062,789.34064
1533058201,709.15753,779.2674,810.696,722.0513,686.1905
1533058201,661.2088,761.13556,807.8755,664.43225,629.7802
1533058201,840.9158,798.20514,800.6227,830.84247,685.78754
1533058201,967.8388,826.8132,805.05493,956.1539,784.10254
1533058201,895.7143,801.8315,809.0842,900.9524,906.5934
1533058201,732.52747,749.0476,805.4579,760.32965,1062.1245
1533058201,655.16486,772.4176,798.20514,660.80585,774.83514
1533058201,818.3516,811.9048,795.78754,792.5641,635.42126
1533058201,963.8095,807.8755,800.2198,943.663,952.9304
1533058201,911.4286,813.91943,800.6227,908.60803,980.32965
1533058201,759.92676,803.8461,800.2198,763.95605,745.0183
1533058201,657.5824,772.8205,801.4286,652.74725,637.03296
1533058201,786.52014,764.7619,801.4286,776.8498,838.0952
1533058201,948.9011,800.6227,796.5934,938.022,1097.9854
1533058201,921.0989,840.9158,794.57874,907.3993,890.87915
1533058201,776.8498,812.3077,799.011,780.07324,725.6777
1533058201,653.1502,778.46155,799.011,653.95605,695.8608
1533058201,759.92676,798.60803,805.4579,741.39197,673.2967
1533058201,945.6777,832.0513,809.4872,926.337,740.58606
1533058201,933.9927,830.0366,808.2784,928.7546,850.18317
1533058201,766.3736,793.7729,806.26373,779.67035,838.9011
1533058201,635.82416,770.40295,801.4286,650.32965,772.8205
1533058201,722.0513,794.57874,798.20514,718.022,711.5751
1533058201,907.3993,816.337,796.99634,900.54944,804.2491
1533058201,928.7546,796.5934,802.6374,929.9634,1048.4249
1533058201,796.99634,808.68134,801.8315,801.4286,890.07324
1533058201,648.71796,787.326,795.38464,657.1795,656.3736
1533058201,702.71063,772.4176,795.78754,695.05493,663.6264
1533058201,904.57874,817.5458,791.3553,886.4469,793.36993
1533058201,941.6484,842.9304,793.36993,934.7985,825.2015
1533058201,821.5751,821.978,802.23444,828.4249,774.83514
1533058201,674.5055,782.8938,799.81683,680.9524,745.42126
1533058201,690.6227,774.83514,794.57874,676.52014,742.1978
1533058201,888.86444,813.1135,796.5934,863.47986,814.3223
1533058201,960.18317,836.08057,801.4286,939.2308,832.4542
1533058201,846.9597,794.57874,805.05493,851.39197,949.304
1533058201,689.011,779.67035,808.2784,706.337,887.25275
