timestamps,TP9,AF7,AF8,TP10,Right AUX
45218.45379348,827.2161,790.14655,906.99634,823.5897,753.47986
45218.45379383,822.7839,791.3553,895.31134,823.9927,662.8205
45218.45379383,819.9634,790.14655,859.0476,826.0073,799.011
45218.45379384,829.2308,790.54944,869.12085,824.3956,811.0989
45218.45379384,830.0366,795.38464,879.59705,826.4103,732.1245
45218.45379385,828.4249,797.8022,873.1502,819.5604,697.47253
45218.45379387,832.0513,796.5934,838.49817,823.1868,1014.9817
45218.45379387,826.4103,794.9817,856.63007,824.3956,1072.1978
45218.45379387,821.5751,794.57874,891.685,810.696,680.14655
45218.45379387,819.15753,792.5641,867.50916,806.6667,634.21246
45218.45379387,820.7692,792.5641,846.1539,815.12823,774.43225
45218.45379388,821.978,793.7729,865.4945,818.7546,719.6337
45218.45379388,821.978,795.78754,862.27106,817.5458,703.1135
45218.45379461,822.7839,792.1612,844.94507,817.1429,780.87915
45218.45379462,816.7399,789.7436,860.65936,823.5897,830.84247
45218.45379462,813.91943,791.3553,869.5238,820.7692,818.7546
45218.45379462,822.381,792.96704,857.03296,815.12823,790.54944
45218.45379463,822.381,792.5641,834.87177,814.7253,817.5458
45218.45379463,816.7399,792.96704,826.8132,815.5311,884.43225
45218.45379463,821.978,794.57874,824.7985,818.3516,886.4469
45218.45379463,825.2015,793.7729,824.7985,815.5311,888.46155
45218.45379464,813.91943,790.14655,817.5458,819.15753,923.91943
45218.45379464,815.9341,790.9524,795.78754,829.2308,1052.4542
45218.45379464,823.1868,793.36993,836.08057,823.5897,915.05493
45218.45379464,820.3663,794.57874,859.45056,811.50183,679.7436
45218.45379498,818.3516,797.3993,822.381,817.1429,803.0403
45218.45379499,819.5604,799.011,840.5128,818.7546,838.0952
45218.45379499,813.1135,800.2198,857.8388,811.9048,711.1722
45218.45379499,812.71063,799.011,833.2601,813.5165,713.5897
45218.45379500,812.71063,800.2198,823.9927,820.3663,730.9158
45218.45379500,810.293,796.5934,831.2454,819.9634,801.8315
45218.45379503,811.0989,798.60803,840.9158,817.5458,797.8022
45218.45379503,815.12823,801.02563,834.87177,820.7692,744.61536
45218.45379503,813.1135,798.60803,811.0989,820.7692,932.381
45218.45379503,813.1135,799.011,834.4689,817.5458,813.5165
45218.45379505,813.5165,798.60803,846.1539,817.9487,570.9524
45218.45379505,811.9048,804.65204,813.91943,817.5458,633.00366
45218.45379541,816.337,803.8461,780.4762,821.1722,921.9048
45218.45379541,825.2015,805.05493,832.8571,821.5751,888.46155
