timestamps,TP9,AF7,AF8,TP10,Right AUX
45211.429090845,846.9597,896.1172,784.5055,798.60803,649.5238
45211.429090868,846.55676,840.5128,794.9817,806.26373,773.6264
45211.429090880,821.978,872.74725,801.8315,804.65204,873.1502
45211.429090880,824.7985,898.5348,792.96704,808.68134,880.40295
45211.429090880,834.0659,855.0183,790.14655,813.91943,866.30035
45211.429090903,836.8865,781.685,793.7729,824.3956,972.27106
45211.429090903,837.6923,793.36993,797.8022,822.7839,985.9707
45211.429090914,839.707,832.8571,803.8461,818.3516,919.0842
45211.429090914,847.3626,795.78754,801.02563,821.1722,875.56775
45211.429090926,836.4835,741.39197,792.5641,819.5604,974.2857
45211.429090926,811.0989,794.17584,796.1905,816.7399,1122.5641
45211.429090926,811.9048,927.9487,800.2198,800.6227,784.90845
45211.429090938,819.5604,896.1172,799.011,801.02563,587.8755
45211.429091262,823.5897,845.34796,803.0403,810.293,717.2161
45211.429091273,826.4103,856.63007,807.47253,816.7399,713.1868
45211.429091273,834.0659,853.00366,818.3516,823.5897,672.49084
45211.429091285,828.8278,826.4103,818.7546,821.978,775.64105
45211.429091285,818.3516,804.2491,813.91943,817.9487,808.68134
45211.429091285,813.5165,802.23444,809.0842,817.9487,782.49084
45211.429091296,814.7253,822.7839,807.47253,816.337,845.34796
45211.429091296,821.5751,814.7253,804.65204,818.7546,919.89014
45211.429091296,819.9634,748.6447,811.0989,830.4396,1135.0549
45211.429091308,834.4689,845.34796,811.0989,822.7839,995.64105
45211.429091308,838.49817,911.02563,803.8461,814.3223,727.6923
45211.429091308,820.7692,843.73627,823.1868,827.619,747.8388
45211.429091343,818.3516,842.1245,822.381,831.2454,741.39197
45211.429091343,822.7839,862.27106,803.8461,820.3663,661.2088
45211.429091343,828.022,853.8095,810.696,826.0073,685.78754
45211.429091354,826.8132,823.1868,822.381,828.4249,803.0403
45211.429091354,826.8132,839.707,822.381,823.5897,838.9011
45211.429091354,830.0366,815.9341,826.8132,831.6484,893.69965
45211.429091377,835.2747,821.978,827.2161,834.4689,891.28204
45211.429091377,843.73627,776.4469,820.7692,837.6923,1063.7362
45211.429091377,832.0513,710.7692,819.9634,837.28937,1324.0293
45211.429091377,814.3223,871.13556,813.91943,823.5897,1013.7729
45211.429091389,811.0989,937.2161,807.47253,817.5458,688.20514
45211.429091389,813.91943,860.65936,812.71063,821.5751,777.6557
45211.429091655,817.9487,870.32965,805.8608,820.3663,718.8278
45211.429091667,818.7546,860.65936,791.3553,810.293,589.89014
45211.429091667,821.5751,828.022,795.78754,812.71063,723.663
45211.429091678,826.4103,825.2015,809.0842,818.7546,763.1502
45211.429091678,828.4249,840.10986,821.1722,817.1429,680.14655
45211.429091678,819.5604,830.0366,820.3663,813.5165,837.6923
45211.429091678,810.696,796.99634,807.47253,810.293,1033.1135
45211.429091690,816.337,772.4176,803.44324,820.3663,1149.1575
45211.429091690,826.4103,870.7326,811.0989,813.1135,915.05493
45211.429091690,819.9634,885.2381,815.9341,805.05493,707.9487
45211.429091690,827.2161,809.89014,823.9927,814.7253,802.23444
45211.429091701,838.9011,778.0586,826.4103,821.978,780.07324
45211.429092431,827.619,817.1429,806.6667,816.337,682.1612
45211.429092442,816.337,848.1685,798.60803,812.71063,643.8828
45211.429092442,813.1135,774.0293,808.68134,817.5458,733.3333
45211.429092454,809.89014,827.619,801.02563,816.7399,767.5824
45211.429092454,815.5311,884.83514,802.6374,813.5165,744.21246
45211.429092454,814.3223,823.1868,830.84247,810.696,790.54944
45211.429092454,802.23444,754.68866,829.2308,816.337,932.381
45211.429092465,802.23444,774.0293,808.68134,821.978,1090.7325
45211.429092488,814.3223,886.04395,814.7253,818.3516,920.293
45211.429092488,820.7692,875.16486,807.8755,814.3223,775.64105
45211.429092488,817.1429,796.5934,802.6374,819.15753,856.2271
45211.429092500,817.1429,827.619,816.337,813.91943,811.50183
45211.429093229,823.9927,885.2381,804.2491,807.8755,701.0989
45211.429093229,813.1135,834.4689,803.8461,809.0842,734.5421
45211.429093241,805.05493,799.011,817.5458,808.68134,868.315
45211.429093241,811.9048,843.73627,829.2308,808.2784,848.97437
45211.429093241,813.1135,848.5714,821.978,810.293,776.8498
45211.429093241,814.3223,799.41394,809.4872,820.7692,904.57874
