timestamps,TP9,AF7,AF8,TP10,AUX Right
143407.23663888656,-46.269506793028086,3.0795523938178917,-1.4331980511794606,-12.549147091440048,-311.4200467669335
143407.24023234917,-40.86219988767533,-258.90535078718784,-2.542365938320401,-11.014583625007857,-5.338917959846427
143407.24048691842,-39.219219657124114,-303.11685543429485,-8.681617068981897,-8.141177355631964,57.60087306944216
143407.26041147741,-37.37097829505444,-111.66957972326969,-13.741493584416455,-12.060215365019838,-89.46611294045776
143407.26436262875,-36.36515959215806,-447.3517326133594,-13.674149318328388,-29.56216593471592,13.268307953145339
143407.28093336918,-39.15283629237733,-542.3353120028963,-18.278101669416284,-31.59078186353785,35.56215401745068
143407.2857365139,-36.82081265592707,-245.20238334060116,-23.153751709743855,-27.795849300701022,-97.99271880492302
143407.28004418447,-25.084055004434745,-304.80392112194556,-19.4417314951089,-21.799827083036938,-107.42098627864905
143407.28103033366,-18.10030069364591,-268.5844515838711,-22.040256394297753,-13.20729306969916,-89.34169583282626
143407.28974693525,-19.9109234230432,-252.7436384936035,-32.30490678797706,-20.062350941496465,-54.5467033048966
143407.29520104657,-26.057898306758926,-552.2693560127112,-29.380534542145693,-25.9948448374006,106.30505376210007
143407.2958245386,-36.13101198954716,-452.82553631602866,-22.684745398492993,-31.832910647374167,5.718528666179395
143407.2977394025,-30.79230227795425,-589.876132048772,-31.927710203214183,-27.737459817949947,86.11932221829662
143407.30183827016,-18.892964743021516,-467.032981125423,-31.57691106301337,-20.3381361729015,-4.771339074720828
143407.3054775642,-23.741499496448018,57.90171611073674,-24.204844251053782,-28.936871166906162,-400.4655828643978
143407.30906877422,-32.00932835528726,9.467859595288573,-25.803733161031005,-36.41039666628248,-318.7644396972995
143407.31308792328,-31.090353930784943,-463.512470815035,-31.30906278535447,-27.664822145519054,16.941963849515933
143407.31565828552,-27.371713798642958,-750.1975502114259,-31.832962737089208,-13.552958124280483,300.88268757472247
143407.3173637524,-21.39622883430323,-783.76328433765,-30.53269238909106,-19.401578660900253,365.88624315065533
143407.3213622609,-19.62023570966918,-517.0642972337982,-27.575698380270744,-30.98559879175447,124.81613954262873
143407.32684147052,-21.483778025738744,-366.876849618307,-25.02331515936993,-30.189833632028474,218.56560563563872
143407.3297592713,-14.37729184811364,-117.60737486270634,-22.948941410754227,-25.084705971193888,27.563188651021996
143407.33062566104,-14.746459725406933,149.22974795804816,-23.22732429770015,-19.5694660093869,-287.79911199561457
143407.34496573656,-19.091422852922353,49.47135304132812,-22.803619315085243,-14.024650312022649,-159.17852108409136
143407.3511993219,-17.54400468535352,-257.26726335119747,-20.60343354367378,-14.875310553275497,-13.122644798050366
143407.36309609504,-15.715396186113875,-536.669322937589,-21.154737083014226,-23.674215104637995,75.2359086678353
143407.36786201986,-23.11851296139828,-226.93454573422082,-21.993936172698795,-28.810007381515362,-5.289991805521069
143407.36817144163,-19.496559730254926,-377.33154858265226,-25.249335045561928,-23.339321700732384,5.5732666534010775
143407.37307914518,-8.111412987186176,-564.2906196714418,-31.794922734808583,-21.499629725677135,109.78037502757323
143407.3810692363,-16.003874865080984,-226.12103894485682,-31.048834506984626,-32.39805270195406,-73.79587515275955
143407.38617388398,-19.930789388315343,-291.9913671771361,-23.698757595911324,-22.940858113086982,-120.23569622882464
143407.38953275158,-16.01521790880434,-541.699218158589,-24.534607276860566,-16.932410412506563,4.2088381489100755
143407.39472883358,-14.49309943538723,-465.064322452372,-24.55940995227847,-18.707747217977776,-15.079624934474444
143407.40051018016,-15.389533604131723,-423.09057073849874,-23.709104606027303,-14.351094587948616,5.8575769875198205
143407.4050032858,-21.936431004683364,-293.33733605025384,-29.499010104369066,-13.774627994202842,-39.74037931318517
143407.40981786646,-33.381444717878566,-577.7846760557619,-34.66524890930157,-21.047860851567265,161.34225738224865
143407.4157118193,-34.0231318120411,-440.1428073089455,-36.64605840904839,-27.85256069523682,94.07949961586804
143407.4206571494,-33.9421779453446,170.47295268915062,-40.55354373141436,-34.76904558702312,-306.46867922669304
143407.42453221383,-29.561726557338478,94.13476226038654,-46.195671609005096,-41.32992997910566,-274.6771938781113
143407.4297180479,-21.18221031242152,-255.35752882487728,-51.074408594734194,-35.5398243377508,-5.016380032197262
143407.43605164287,-26.718576491893206,-552.7575312869683,-46.13356115779246,-23.67681341997449,177.37551965482496
143407.44093495386,-31.158432436058384,-513.5119904161611,-34.63651736612634,-25.138329787610164,130.25759683282504
143407.4445883127,-24.331664913411288,-552.566935602425,-29.243601824742434,-30.32327633364389,137.05226746374896
143407.44780851834,-23.5029677797903,-707.0488339622293,-28.776619429046594,-36.62276629926159,172.3169150549333
143407.45428725812,-21.792148243009766,-317.4100277383576,-27.7765168599012,-35.18600997927345,-97.63987003250399
143407.45818061597,-18.374761960621072,-159.6477029381158,-34.42752284062356,-33.021662577549385,-299.02130431260184
143407.4617498982,-32.999362197429456,-263.944208935824,-37.125023192354405,-32.950318922883795,-277.58412008677635
143407.46745146345,-33.819956399898416,-298.586401753631,-27.08340881732819,-31.455403541577795,-241.5012990082784
143407.47383018996,-25.923373688002243,-605.4247124745367,-28.144092961735847,-34.00693577839956,-121.19163683717497
143407.47857189598,-26.285884796381776,-657.8882671900205,-30.44002937645738,-32.166280607086314,-44.43677378261614
143407.48252089444,-35.466855545523345,-642.8140322727286,-29.20536958542369,-28.91518761377867,-63.09673339697252
143407.4876569892,-31.008420797412665,-584.8713017518489,-25.56874226773972,-25.135078431733895,18.12785145949448
143407.49352608013,-34.2828402050148,-164.37706484132065,-25.39690963245358,-36.74755397000618,-158.5344661537461
143407.49855972247,-33.72141291762386,-119.72328437617944,-30.597835433457902,-40.69744529203115,-233.87314911105886
143407.5030263579,-23.61739568503691,-428.27606713457135,-33.394515548856404,-33.47359926174103,-32.4568784241282
143407.50809605911,-23.512184778093292,-702.7896449164986,-35.77163145842164,-27.8488506245502,101.17613263991834
143407.51352485974,-21.944405991492918,-490.5279628851487,-30.883876082178435,-31.43724061030542,38.48001273449377
143407.5184686554,-27.69135184816955,-7.356958061356636,-27.32670299143044,-34.28144697901212,-176.53375424205464
143407.52325146494,-23.866669562974685,-365.2744813681589,-22.687377239571745,-23.710766707378582,-41.16910143139833
143407.5284926698,-11.323546073660328,-451.53335260353265,-25.640403053163134,-29.635752848765634,-46.095597676773366
143407.53374123288,-12.608367803744175,-44.972203773609834,-35.40643082158626,-36.397837283026135,-337.5847083377444
