timestamps,T9,AF7,AF8,TP10,Right AUX
45218.44258977,811.50183,805.05493,737.76556,807.8755,698.2784
45218.44258979,811.50183,804.2491,486.337,814.7253,974.2857
45218.44258985,808.2784,802.6374,647.50916,815.9341,978.71796
45218.44258987,811.0989,805.4579,1005.31134,810.293,708.3516
45218.44258994,824.7985,808.2784,888.46155,819.15753,723.663
45218.44258999,829.6337,803.44324,745.0183,815.9341,781.28204
45218.44259002,813.5165,798.20514,921.0989,803.0403,777.6557
45218.44259007,800.2198,798.20514,1037.1428,802.23444,743.00366
45218.44259010,798.60803,799.41394,855.0183,813.1135,794.17584
45218.44259014,805.8608,797.8022,665.2381,830.0366,1010.14655
45218.44259019,803.44324,796.99634,794.9817,834.87177,936.8132
45218.44259027,793.7729,791.75824,998.0586,838.9011,738.5714
45218.44259030,794.9817,788.93774,790.9524,849.7802,863.47986
45218.44259034,797.3993,790.9524,677.72894,850.18317,1007.326
45218.44259037,801.02563,789.7436,950.5128,847.3626,848.97437
45218.44259042,803.8461,792.1612,983.1502,843.3333,740.989
45218.44259084,807.47253,801.02563,722.0513,841.7216,856.63007
45218.44259089,807.0696,800.6227,823.5897,834.87177,813.91943
45218.44259091,797.8022,795.78754,1035.5311,822.7839,711.978
45218.44259096,800.2198,792.5641,956.9597,830.84247,749.45056
45218.44259100,810.696,790.9524,904.17584,844.5421,780.87915
45218.44259103,801.02563,790.14655,933.1868,832.0513,902.5641
45218.44259112,805.4579,793.7729,965.0183,823.9927,923.1135
45218.44259115,814.7253,799.011,923.1135,827.619,847.76556
45218.44259118,805.4579,798.20514,644.68866,818.7546,1056.4835
45218.44259123,799.41394,797.3993,856.2271,808.2784,962.1978
45218.44259126,802.23444,801.8315,1037.9487,807.0696,713.1868
45218.44259131,805.8608,805.8608,931.5751,808.68134,751.8681
45218.44259135,803.44324,804.65204,957.76556,801.02563,799.81683
45218.44259138,806.26373,804.2491,892.49084,807.0696,770.80585
45218.44259142,814.7253,805.8608,954.1392,813.1135,822.7839
45218.44259146,818.7546,806.26373,858.6447,819.5604,850.58606
45218.44259149,821.978,805.8608,594.7253,827.619,966.63007
45218.44259157,821.1722,799.011,801.8315,825.2015,910.6227
